session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
0,192,586,134,3,134,134,3,134,204,134,1
1,416,193,683,256,134,31,393,3515,217,55,1
2,55,3,55,55,5,293,416,337,918,55,1
3,483,3734,483,55,55,55,55,982,201,123,1
4,349,55,5,4459,259,212,4217,2422,684,2422,1
5,227,684,212,212,55,55,128,173,3382,4401,1
6,358,586,134,3,134,31,134,393,192,134,1
7,262,4415,1672,393,55,3,55,3,201,123,1
8,55,337,106,204,1255,524,55,837,106,5,1
9,1068,358,4485,358,4617,543,614,614,543,602,1
10,602,173,173,472,2,2,6,3,2,3208,1
11,3208,4585,4693,2098,161,161,118,90,2,90,1
12,108,564,617,18,45,108,392,17,90,2227,1
13,90,757,5,102,22,1258,1258,90,564,31,1
14,20,31,20,90,5,118,6,3,2,2,1
15,54,2,62,86,54,86,62,54,62,143,1
16,54,62,54,143,61,61,61,61,368,310,1
17,310,368,310,1131,368,1386,1386,1131,310,368,1
18,98,98,310,368,3022,310,1300,1206,1300,310,1
19,3022,1206,1300,1300,310,368,310,368,1206,310,1
20,368,368,1386,3,310,368,2,1386,467,1887,1
21,368,310,3,881,310,2,467,582,881,368,1
22,310,881,310,582,1131,368,881,310,582,1915,1
23,2171,368,310,467,881,881,310,467,582,467,1
24,582,310,582,2374,848,582,310,582,881,467,1
25,582,368,310,467,582,467,310,467,582,582,1
26,881,467,467,467,193,467,683,467,349,128,1
27,467,467,467,582,467,293,582,1415,43,472,1
28,2,2,3,6,2,2021,246,2021,594,1818,1
29,128,204,1415,211,5,594,2021,524,1752,594,1
30,2021,2984,171,171,2,3,6,1953,2,3,1
31,1953,106,1953,1953,368,310,310,368,1386,310,1
32,1440,1131,310,467,1887,368,1300,310,1206,1206,1
33,1300,310,368,467,467,310,310,368,310,1131,1
34,368,310,467,310,1915,467,2171,467,368,467,1
35,467,310,467,2374,582,467,467,467,87,5,1
36,467,87,586,134,3,134,31,3,134,134,1
37,393,3557,999,999,55,3,55,3,55,106,1
38,1733,172,4901,3688,55,3,55,201,123,55,1
39,55,3905,4274,259,864,259,358,358,864,801,1
40,3,55,55,193,55,4251,212,4154,212,259,1
41,259,4411,801,227,227,543,543,55,55,3,1
42,55,55,3,416,106,2044,4882,4329,1288,55,1
43,3,55,55,55,4027,3955,607,607,227,55,1
44,55,875,3,416,483,483,4054,55,55,3,1
45,55,55,416,55,55,4353,3,55,201,123,1
